brand,total,mobile,id,group
Maison Cartier,12479,6925,1,high
Prada,9899,5205,2,high
Dior,9558,5600,3,high
Armani,9423,4924,4,high
Louis Vuitton,9040,4466,5,high
Tiffany & Co.,8858,3844,6,high
Coach,7636,4155,7,high
Versace,7376,3409,8,high
Givenchy,7325,4104,9,high
Gucci,6842,3928,10,high
Swarkovski,6759,2968,11,high
Herms,6474,3499,12,high
Ferragamo,4385,2490,13,high
BVLGARI,4036,1815,14,high
Buberry,3765,2514,15,high
Valentino,3710,1942,16,high
Fendi,3540,1936,17,high
Miu Miu,3094,461,18,high
Michael Kors,2746,1434,19,high
Ralph Lauren,2659,1148,20,high
Kenzo,2640,1450,21,high
balenciaga,2434,1260,22,high
OMEGA,2364,1351,23,medium
Longchamp,2197,1124,24,medium
Louboutin,2180,1091,25,medium
Dolce & Gabbana,2108,976,26,medium
Jaeger Lecoultre,2065,1081,27,medium
Moschino,2031,1072,28,medium
Bottega Veneta,2024,1040,29,medium
Jimmy Choo,1992,1056,30,medium
Hennessy,1784,1166,31,medium
Alexander Wang,1693,804,32,medium
Lanvin,1437,782,33,medium
Marc Jacobs,1427,775,34,medium
Alexander McQueen,1332,641,35,medium
Vivienne Westwood,1319,591,36,medium
Audemars Piguet,1310,804,37,medium
Daniel Wellington,1234,515,38,medium
Martell,1020,635,39,medium
SEVENFRIDAY,947,601,40,medium
Tod's,860,372,41,medium
BALMAIN,806,413,42,medium
Paul Smith,741,317,43,medium
Mulberry,727,381,44,medium
Hublot,697,411,45,medium
Hasselblad,677,340,46,medium
Harry Winston,567,308,47,medium
ELIE SAAB,549,288,48,medium
Boucheron,431,189,49,medium
Cointreau,359,187,50,low
Bulova,351,185,51,low
Berluti,347,186,52,low
Roberto Cavalli,346,163,53,low
Roberto Cavalli,346,163,54,low
Tag Heuer,336,114,55,low
Isabel Marant,327,143,56,low
Chopard,323,169,57,low
Cerruti 1881,238,86,58,low
Oscar de la Renta,226,104,59,low
Missoni,207,90,60,low
Zac Posen,201,92,61,low
Sonia Rykiel,189,88,62,low
Chlo,184,84,63,low
Jason Wu,179,79,64,low
Bell & Ross,163,81,65,low
Narciso Rodriguez,152,75,66,low
Veuve Clicquot,73,26,67,low
